>Contig580	locus580
>Contig581	locus581
>Contig582	locus582
>Contig583	locus583
>Contig584	locus584
>Contig585	locus585
>Contig586	locus586
>Contig587	locus587
>Contig588	locus588
>Contig589	locus589
>Contig590	locus590
>Contig591	locus591
>Contig592	locus592
>Contig593	locus593
>Contig594	locus594
>Contig595	locus595
>Contig596	locus596
>Contig597	locus597
>Contig598	locus598
>Contig599	locus599
>Contig600	locus600
>Contig601	locus601
>Contig602	locus602
>Contig603	locus603
>Contig604	locus604
>Contig605	locus605
>Contig606	locus606
>Contig607	locus607
>Contig608	locus608
>Contig609	locus609
>Contig610	locus610
>Contig611	locus611
>Contig612	locus612
>Contig613	locus613
>Contig614	locus614
>Contig615	locus615
>Contig616	locus616
>Contig617	locus617
>Contig618	locus618
>Contig619	locus619
>Contig620	locus620
>Contig621	locus621
>Contig622	locus622
>Contig623	locus623
>Contig624	locus624
>Contig625	locus625
>Contig626	locus626
>Contig627	locus627
>Contig628	locus628
>Contig629	locus629
>Contig630	locus630
>Contig631	locus631
>Contig632	locus632
>Contig633	locus633
>Contig634	locus634
>Contig635	locus635
>Contig636	locus636
>Contig637	locus637
>Contig638	locus638
>Contig639	locus639
>Contig640	locus640
>Contig641	locus641
>Contig642	locus642
>Contig643	locus643
>Contig644	locus644
>Contig645	locus645
>Contig646	locus646
>Contig647	locus647
>Contig648	locus648
>Contig649	locus649
>Contig650	locus650
>Contig651	locus651
>Contig652	locus652
>Contig653	locus653
>Contig654	locus654
>Contig655	locus655
>Contig656	locus656
>Contig657	locus657
>Contig658	locus658
>Contig659	locus659
>Contig660	locus660
>Contig661	locus661
>Contig662	locus662
>Contig663	locus663
>Contig664	locus664
>Contig665	locus665
>Contig666	locus666
>Contig667	locus667
>Contig668	locus668
>Contig669	locus669
>Contig670	locus670
>Contig671	locus671
>Contig672	locus672
>Contig673	locus673
>Contig674	locus674
>Contig675	locus675
>Contig676	locus676
>Contig677	locus677
>Contig678	locus678
>Contig679	locus679
>Contig680	locus680
>Contig681	locus681
>Contig682	locus682
>Contig683	locus683
>Contig684	locus684
>Contig685	locus685
>Contig686	locus686
>Contig687	locus687
>Contig688	locus688
>Contig689	locus689
>Contig690	locus690
>Contig691	locus691
>Contig692	locus692
>Contig693	locus693
>Contig694	locus694
>Contig695	locus695
>Contig696	locus696
>Contig697	locus697
>Contig698	locus698
>Contig699	locus699
>Contig700	locus700
>Contig701	locus701
>Contig702	locus702
>Contig703	locus703
>Contig704	locus704
>Contig705	locus705
>Contig706	locus706
>Contig707	locus707
>Contig708	locus708
>Contig709	locus709
>Contig710	locus710
>Contig711	locus711
>Contig712	locus712
>Contig713	locus713
>Contig714	locus714
>Contig715	locus715
>Contig716	locus716
>Contig717	locus717
>Contig718	locus718
>Contig719	locus719
>Contig720	locus720
>Contig721	locus721
>Contig722	locus722
>Contig723	locus723
>Contig724	locus724
>Contig725	locus725
>Contig726	locus726
>Contig727	locus727
>Contig728	locus728
>Contig729	locus729
>Contig730	locus730
>Contig731	locus731
>Contig732	locus732
>Contig733	locus733
>Contig734	locus734
>Contig735	locus735
>Contig736	locus736
>Contig737	locus737
>Contig738	locus738
>Contig739	locus739
>Contig740	locus740
>Contig741	locus741
>Contig742	locus742
>Contig743	locus743
>Contig744	locus744
>Contig745	locus745
>Contig746	locus746
>Contig747	locus747
>Contig748	locus748
>Contig749	locus749
>Contig750	locus750
>Contig751	locus751
>Contig752	locus752
>Contig753	locus753
>Contig754	locus754
>Contig755	locus755
>Contig756	locus756
>Contig757	locus757
>Contig758	locus758
>Contig759	locus759
>Contig760	locus760
>Contig761	locus761
>Contig762	locus762
>Contig763	locus763
>Contig764	locus764
>Contig765	locus765
>Contig766	locus766
>Contig767	locus767
>Contig768	locus768
>Contig769	locus769
>Contig770	locus770
>Contig771	locus771
>Contig772	locus772
>Contig773	locus773
>Contig774	locus774
>Contig775	locus775
>Contig776	locus776
>Contig777	locus777
>Contig778	locus778
>Contig779	locus779
>Contig780	locus780
>Contig781	locus781
>Contig782	locus782
>Contig783	locus783
>Contig784	locus784
>Contig785	locus785
>Contig786	locus786
>Contig787	locus787
>Contig788	locus788
>Contig789	locus789
>Contig790	locus790
>Contig791	locus791
>Contig792	locus792
>Contig793	locus793
>Contig794	locus794
>Contig795	locus795
>Contig796	locus796
>Contig797	locus797
>Contig798	locus798
>Contig799	locus799
>Contig800	locus800
>Contig801	locus801
>Contig802	locus802
>Contig803	locus803
>Contig804	locus804
>Contig805	locus805
>Contig806	locus806
